id;description;delivery_terms;offer_taxt_until;status;product_id;delivery_address_id
1;Frozen scale challenge;Customer black calculate;2020-05-07;Graphical User Interface Club Engineer;1;1
2;Operations;Green disintermediate visionary;2020-05-07;Light;2;2
3;Tasty;Refined Cotton Salad Mouse;2020-05-08;Brooks contextually-based Rand Namibia Dollar;3;3
4;Manager Berkshire;Toys Extended;2020-05-07;Operations;4;4
5;Home Avon backing up;bypass transitional hacking;2020-05-07;Metrics sensor Gorgeous Cotton Salad;5;5
6;fuchsia JBOD;leverage Riel Spurs;2020-05-07;24/365 multi-byte Credit Card Account;6;6
7;Bahamian Dollar Frozen;multi-tasking Uruguay unleash;2020-05-07;Lempira Platinum;7;7
8;Small Personal Loan Account;Shirt Legacy Antarctica (the territory South of 60 deg S);2020-05-07;user-facing Visionary Borders;8;8
9;Expressway matrix holistic;override enable Berkshire;2020-05-07;portals;9;9
10;French Guiana;Small Credit Card Account;2020-05-07;Manors superstructure;10;10
