id;subject;message;created_at;api_response;discussion_type;read_status;from_id;to_id;created_by_id;enquiry_id;order_id;offer_id
1;Solutions Cove;Agent;2020-05-07T21:54:13;Savings Account functionalities;UAE Dirham International Quality-focused;false;1;1;1;1;1;1
2;metrics FTP invoice;orchestrate;2020-05-07T16:54:23;Computer compressing;executive card;true;2;2;2;2;2;2
3;non-volatile Station;Fantastic Implementation Handcrafted Concrete Salad;2020-05-07T11:54:24;Regional;Small Frozen Bacon supply-chains indigo;false;3;3;3;3;3;3
4;Infrastructure XML;transitional;2020-05-08T01:12:50;Nebraska Senior;Licensed Plastic Salad;true;4;4;4;4;4;4
5;Bedfordshire virtual;bypassing Checking Account synergistic;2020-05-08T00:22:58;synthesize;static Fish;true;5;5;5;5;5;5
6;Bermudian Dollar (customarily known as Bermuda Dollar) Rustic;pixel Grocery;2020-05-07T21:42:49;Concrete;Brunei Dollar;true;6;6;6;6;6;6
7;Israel Generic;brand;2020-05-07T21:21:00;Intelligent Brand;Malta;true;7;7;7;7;7;7
8;Lithuanian Litas Investment Account budgetary management;multi-state;2020-05-07T19:03:20;Steel Minnesota;bandwidth;false;8;8;8;8;8;8
9;Facilitator alarm white;Fantastic Cotton Sausages synthesize indexing;2020-05-08T05:52:21;Vermont hybrid Cambridgeshire;Optimization Administrator;false;9;9;9;9;9;9
10;hack backing up Forint;concept synthesize Profit-focused;2020-05-07T20:16:59;withdrawal;Licensed Missouri disintermediate;true;10;10;10;10;10;10
